new_names;cv_mean_1;cv_mean_2;letter_mean_1;letter_mean_2;pres_mean_1;pres_mean_2;pres_class_1;pres_class_2;video_points_1;video_points_2;all_points_1;all_points_2
Sabína Paulíčeková;3,75;2,5;3,75;4,75;6,5;8,75;2;2;20;20;76;84
Dagmara Martinkovičová;1,75;1,25;1;1,5;0;5,5;0;0;;;11;33
Anastasia Ababei;2,5;2,5;3;3,75;5,75;3,25;2;2;20;20;65;58
Agáta Králová;3,25;3,25;4,75;4,75;10;8,75;2;2;20;20;92;87
Vicenția Georgescu;1;0,75;1,5;2,25;0;0;0;0;;;10;12
Othmar Kostolzin-Schomber;2,75;3,25;2,5;3;10;8,5;2;2;0;;61;59
Friedhold Kitzmann;2,25;2,25;2;4,5;0;0;0;0;0;;17;27
Radu Nemeș;4;4;4,25;4,25;8;8,25;2;2;20;15;85;81
Juri Budig B.Sc.;3,25;3,75;4,5;4,75;2,5;3,75;2;2;20;20;61;69
Eftimie Georgescu;3,75;3,75;4,75;4,5;6,75;8;2;2;0;;61;65
Boris Marcinko;2,5;2,75;3,5;5;8,25;6,75;1;1;0;;57;58
Leontina Ardelean;2,25;2;6;1,75;5,75;3,25;2;2;20;15;76;43
Dagmara Kozáčeková;3;3,25;4;4,5;8,5;7,5;2;2;15;15;77;76
Nicolaie Dumitrescu;2,5;2,75;3,25;3,5;9;9;2;2;20;20;79;81
Kamil Petrovický;3,75;3,75;5;5;7,5;8,25;2;2;20;20;85;88
Octavia Ionescu;2,25;2,5;3,25;4,5;0;0;0;0;0;;22;28
Henriette Jacobi Jäckel;0,5;1;0;0;0;3,75;0;0;;0;2;19
Marzena Hande;0,25;0,25;0,75;0,75;0;0,75;0;0;;;4;7
Jarmila Harvanová;3;3;4,75;4,75;7;5;2;2;20;20;79;71
Silvana Stancu;2,5;3;1,75;0,5;1,75;0;1;1;;;24;14
Alex Dávid;2,25;1,75;2,5;3;6;7,25;2;2;10;10;53;58
Viviana Aanei;0,75;1,25;1,75;2,75;0;0;0;0;;;10;16
