new_names;cv_mean_1;cv_mean_2;letter_mean_1;letter_mean_2;pres_mean_1;pres_mean_2;pres_class_1;pres_class_2;video_points_1;video_points_2;all_points_1;all_points_2
Loredana Nemeș;3;3,25;4,25;3,5;7,75;9,75;2;2;20;;80;66
Helena Janečková;3,75;3,75;5;5;7,75;9,75;2;2;20;;86;74
Janeta Gheorghiu;1,75;3,75;3;4;0;1;0;0;5;0;24;35
Arnold Flantz MBA.;3,25;3,25;4,75;5;7;9;2;2;20;20;80;89
Augustín Holubek;1,5;0;2,75;4;0;0;0;0;0;0;17;16
Enna Palovová;2,75;3;3,75;5;8;10;2;2;;;58;72
Christa Ring .;4;4,5;4;5;8,5;10;2;2;;;66;78
Eleonora Eftimie;3,5;3,75;4,75;5;8,5;10;2;2;20;15;87;90
Salomea Voinea;2,25;2,5;3,75;5;8;9,25;2;2;;;56;67
Horst Steinberg;4;3,25;4;5;7;9,5;2;2;20;20;80;91
Romanița Manole;2,25;2,75;3,5;5;8,25;9,25;2;2;;;56;68
Marita Henk-Hentschel;3,25;3,5;4,25;5;7,5;9,25;2;2;;;60;71
Kazimír Junás;3,5;2,25;3,75;5;4;7,5;1;1;;;45;59
Kvetoslava Bernardová;2,75;2,5;3,5;5;8,5;9,25;2;2;20;20;79;87
Virginia Wilmsen;2,75;2,75;3,75;5;7;6,75;2;2;20;20;74;78
Ellinor Jäkel;3,25;3,25;4,25;5;7;9,75;1;1;20;20;78;92
Giorgian Florea;4,75;4,75;5;5;7;7,75;2;2;20;20;87;90
Cantemir Niță;4,5;3,25;4,5;5;7;9;2;2;20;20;84;89
Severin Stancu;3,25;3;3,5;5;7,5;9;2;2;20;20;77;88
Ružena Pavlikovská;3,25;2,75;3,25;4;7,25;7;2;2;10;20;65;75
Krista Köster B.Eng.;2;2,25;2,5;2;7,25;7,75;1;1;0;;47;48
Ariel Kuša;2,75;3;4;5;8,75;7;2;2;0;;62;60
Steluța Diaconu;2,5;3;3,75;5;8,75;9,25;2;2;20;20;80;89
Ilhan Wulf-Baum;2,75;1;4;1;1,75;0,75;1;1;0;;34;11
Eva Gheorghiu;3;3,25;4,25;5;8,5;9;2;2;20;20;83;89
Dan Georgescu;3,5;3;4,75;3,75;7,25;7;2;2;20;18;82;73
Marc Wesack;4;2;4,5;1,25;6;0;3;3;0;;58;13
Kunigunde Karz;0,75;0,75;3,75;4;7;5;2;2;20;20;66;59
Rebeca Eftimie;4,25;1,5;4,75;4;4;5,5;3;3;20;16;72;60
Heinz-Wilhelm Seifert;2,25;1,75;4,25;3;6,5;0,75;2;2;15;10;67;32
Bc. Branislav Škultéty;3,75;1,75;4;3,5;0;0;0;0;0;;31;21
Arnfried Mohaupt;4,75;3;4,25;2,75;9,25;1;2;2;0;;73;27
Mihnea Aanei;3,5;2,75;4;4;7,5;9,25;2;2;20;20;80;84
Vratislav Repiský;3,75;3,5;4,25;4,75;8,5;9,5;2;2;20;20;86;91
Edgar Eftimie;4,5;2,75;4,5;5;8,75;0;2;2;10;0;61;31
Angela Dochioiu;3,75;3,25;4;4,75;8,5;8,25;2;2;20;18;85;83
Aloisia Drubin;4;3,75;1,75;0;6,5;0;2;2;0;;29;15
Tichomír Hroboň;3,5;3,25;3,5;4;9;6,5;2;2;0;;64;55
Silviu Dima;3,5;3;4,75;4,5;8,5;9,75;2;2;0;;67;69
Cristian Diaconescu;3,5;3,25;4,5;5;8,25;8,75;2;2;20;16;85;84
Barbara Tatarová;3;0;0;0;0;0;0;0;0;;12;0
Dipl.-Ing. Diethard Jessel;4,75;4,5;4,25;5;9,25;9,5;2;2;20;19;93;95
Roberto Meister;4,5;4,5;4,5;5;8,5;8,5;2;2;0;;70;72
Alexia Michálechová;3;1,75;4;4;7,5;7,25;1;1;0;;58;52
Steluța Diaconescu;3,5;3;4,5;4,75;9;7,5;2;2;20;19;88;80
Eliška Rusková;3,25;2;4,25;3,5;0;0;0;0;0;;30;22
Klement Bilek;4,25;3,25;4,25;4,75;9;4,25;2;2;0;;70;49
Otília Bieliková;2,5;2,5;3,75;2;8,25;2,75;2;2;20;10;78;39
Tibor Schleich;3,75;2;3,75;4,25;7,25;0;2;2;0;;59;25
Bohumila Mlynáriková;4,5;3,5;4;4,75;8,25;7;2;2;0;;67;61
Zuzana Kunová DiS.;3,25;4;4,5;5;7,5;9,25;2;2;15;15;76;88
Silvia Doležalová;4;3,25;4,25;4,75;9;9;1;1;20;18;89;86
Elli Steinberg;3;2,75;3,5;2;0;0;0;0;0;;26;19
Stela Nôtová;2,75;2,25;4,5;4,5;8,25;6;2;2;15;15;77;66
Dáša Pelikánová;3,25;3,25;4,75;5;8,5;9;2;2;20;20;86;89
Eugenia Hahn-Jäntsch;4;3,25;4,5;5;9;8,75;2;2;20;20;90;88
Adi Cristea;4,5;4;4,5;5;8,5;8,75;2;2;15;15;85;86
Sigrid Scholl .;4,5;4,5;4,25;5;8,25;9,5;2;2;15;20;83;96
Iosif Popa;3;3;4,25;4,5;7,25;6,75;2;2;20;18;78;75
Simina Ababei;4,5;4,5;4,5;5;9;8,75;1;1;20;18;92;91
Necati Klemt-Eckbauer;4,5;4;4,75;4,25;9,25;6;2;2;10;16;84;73
Herr Detlef Mühle;4;2,75;4;3,25;7;2;2;2;0;;60;32
Leopold Chrappa;3,5;3,25;4,5;5;8,5;5,5;2;2;0;;66;55
Milada Beňušková;2,75;2,5;4,25;3;8,5;5,25;2;2;0;;62;43
Roy Reuter-Wesack;3,25;3;5;5;9,25;9,25;2;2;20;20;90;89
Leontina Florea;0;3,75;4,5;4;9;5;2;2;10;10;64;61
Heinz Dieter Wohlgemut;3,75;3,25;4,25;4,5;0;0;0;0;0;;32;31
Jost Trub B.Sc.;3,25;3,25;3,75;3,75;6,25;4,75;2;2;0;0;53;47
Erika Liptáková;2,5;3;4;3,5;5;8,5;2;2;0;0;46;60
Lia Eftimie;4,5;4,25;5;4;10;10;2;2;20;15;98;88
Ludmilla Mentzel;4,75;5;5;5;10;10;2;2;20;20;99;100
Eckhardt Kobelt-Wiek;2,75;3,25;5;4;0;0;0;0;0;0;31;29
Sânziana Niță;3,25;4,5;4;4,25;8,5;8,5;2;2;15;15;78;84
Fabiana Dobre;3,25;3,25;2,75;4,5;7,25;7,5;2;2;;0;53;61
Univ.Prof. Lieselotte Holt;4,25;5;5;5;9,25;10;2;2;10;15;84;95
Jann Kaul;4;4;3,25;1,75;9,25;9,25;2;2;15;15;81;75
Dipl.-Ing. Rolf Klemt B.Eng.;3,25;3,25;3,5;2,5;8;6,25;2;2;20;20;79;68
Carol Stan;2,5;2,5;3,25;2,25;10;9,5;1;1;20;20;83;77
Alena Pušková;4;2,75;4,5;4,25;5;4,5;1;1;20;20;74;66
 Berta Zobel B.Sc.;3,25;4;3,25;2,75;8,75;8,5;1;1;20;20;81;81
Eleonora Cristea;2;2,75;4,25;4,5;7,75;7;2;2;20;20;76;77
Minodora Dochioiu;2,75;3,5;4,5;3,75;5,5;8,75;3;3;20;20;71;84
Josef Kramer MBA.;3;4;4,25;2,25;6,75;5,75;1;1;;0;56;48
Dagmara Bánová;4;4,5;4,5;4,5;7,75;8,25;2;2;;0;65;69
Tatiana Brezinová;4,75;5;4,5;5;9,5;8,25;2;2;20;20;95;93
Kazimír Nižnánsky;4,25;3,5;1,25;2,75;0;0;0;0;;0;22;25
Wencke Geisler;0;0;4,5;5;10;9,5;2;2;;0;58;58
Oxana Jakubecová;2,75;2;5;4;7;6;1;1;;0;59;48
Henrieta Hliníková;4,5;4,5;4,5;5;7,75;8,25;2;2;;0;67;71
Peter-Michael Barkholz;3;3,25;4,5;3;6,5;9,25;1;1;20;20;76;82
Xenia Gheorghiu;3,25;3,25;2,5;2,25;9,5;8,25;2;2;20;20;81;75
Ela Bartošová;1,75;1,25;4,25;4,25;5,75;5,75;3;3;;0;47;45
Ancuța Stănescu;2,5;3,25;2,5;3,5;5,75;6;2;2;18;20;61;71
Univ.Prof. Elke Sontag;3,75;3,75;4,25;4,75;9,75;9,75;2;2;20;20;91;93
Kristián Pavliček;4;3,75;3,5;4,25;9,75;9,25;2;2;20;20;89;89
Kristína Krajčíová;2,5;3,25;1,5;2,25;8,5;5,5;2;2;20;15;70;59
Lucențiu Gheorghiu;4,25;4,5;3,75;4,75;9,5;7;2;2;20;20;90;85
Gerald Wesack;2,25;2,25;4,5;4,5;1,5;0;1;1;;0;33;27
Oskár Ďutka;1;1,5;1,25;2,25;0;0;0;0;;0;9;15
Mariana Stan;4,75;5;4,25;4,5;10;8,5;2;2;20;20;96;92
Alfréd Majeský;3;3,25;4,25;5;9,5;9,25;2;2;20;20;87;90
Univ.Prof. Johanne Spieß B.Sc.;3;4,5;3,25;4,5;8;8,25;1;1;20;20;77;89
Leonhard Staude-Scheel;3;3,75;4;4,5;9;8,5;2;2;20;20;84;87
Móric Valentín;3,25;4,25;4;3,75;9,75;8;3;3;18;12;86;76
Emil Ababei;2,5;4,5;1,75;1,75;10;8,75;2;2;20;20;77;80
Kamila Feldeková;3,25;0;1,5;3,25;7;5,75;2;2;20;20;67;56
Salomea Marin;2,5;3,25;2,5;4,5;9,25;8,5;1;1;20;15;77;80
Ionelia Stan;4,25;3,75;0;0;0;7,25;0;0;;0;17;44
 Anny Scholz;2,25;4;1,25;3,5;0;4,25;0;0;;5;14;52
Zina Dobre;2,75;3,75;3,5;4,75;5;1,75;1;1;;0;45;41
Remus Preda;2,75;3;3;4,5;6,75;6,5;2;2;15;20;65;76
Karolina Heintze;2,5;2,25;2,5;3;5;5,25;2;2;;0;40;42
Narcis Popescu;3;2,5;3,25;4,25;5,25;5,75;2;2;15;16;61;66
Piotr Wagner;2,25;2,25;3,5;3,25;4,75;5,5;2;2;;0;42;44
Georgia Oprea;2;2,5;3,25;4,25;2;4;2;2;15;15;44;58
Fernando Tlustek;1,75;1,75;2,25;0,5;0;0;0;0;;-;16;9
Charlotte Scholtz-Peukert;3;2,5;3,75;4,5;3,25;2,75;2;2;;0;40;39
Annedore Seidel;2,5;1,75;0,25;0,5;0;0;0;0;;-;11;9
 Anna-Luise Häring;1,75;1,25;2,25;2,25;1,25;0;2;2;15;-;36;14
Malvína Mečiarová;3,25;3,25;2,5;2,75;4,75;7,75;2;2;;0;42;55
Univ.Prof. Torsten Jungfer;2,25;1,75;2,5;3,25;2;2;2;2;;0;27;28
Jarolím Hroboň;2,5;4,25;2,25;3,25;4;5;2;2;13;15;48;65
Prof. Hanny Bruder B.Sc.;1,5;2;1,75;1,5;2,25;0;2;2;;-;22;14
Erhardt Staude;2;2,5;1,75;1,5;3;4,5;2;2;;0;27;34
Maria Pop;1,5;1,25;3;2,75;3,75;5;2;2;15;15;48;51
Valerij Eberhardt;3;2,5;3,75;4,5;4,25;5,25;2;2;;0;44;49
 Jens-Peter Budig .;3;3,25;3;4;6,25;8,25;2;2;;0;49;62
Grigore Dinu;3,25;4;3;3,5;5;5,5;2;2;15;15;60;67
Prof. Amanda Scholl;3;3,5;3,75;4,25;7,25;7,75;2;2;;0;56;62
Dumitrana Ioniță;2,75;2,5;2;1,5;4,75;5,25;2;2;17;20;55;57
Andres Speer;4,5;4,5;3,5;4;8,75;8,75;2;2;19;20;86;89
Aribert Trommler;3,25;2,75;3,25;3,25;7;7,5;2;2;;0;54;54
Uršuľa Kolníková;3;1,25;2;3,5;8,25;7,25;1;1;;0;53;48
Sára Mariánová;3,75;3,75;2,25;3,5;5,25;7;2;2;16;15;61;72
Ignác Fašiang;0,75;0,25;0,5;1;0;0;0;0;;-;5;5
Heini Henschel;3,25;3,25;3;3;6;5,75;2;2;;0;49;48
Štefánia Abrahámová;4;4;3,5;4,75;8,75;8,5;1;1;;0;65;69
Anton Richard;2,5;3,25;4,5;4;5,25;3,75;2;2;15;15;64;59
Michaele Preiß;3,75;4,25;1,5;1,5;3,75;4,25;2;2;;0;36;40
Áron Dorka;3,25;3;3,5;4,75;5,5;6,5;2;2;;0;49;57
Semenica Nistor;3,5;3;1,25;2,75;6;5,25;2;2;16;15;59;59
Zehra Briemer;1,5;1;2,25;2,25;6,5;5,5;1;1;;0;41;35
Floarea Suciu;3,25;3;3,75;4,75;7;9,25;2;2;14;15;70;83
Ing. Sandro Schenk B.Sc.;3,75;4,25;1,75;3;5,5;5,5;1;1;15;17;59;68
Luigi Scheel;2,5;1;1,25;1,75;7,75;0;2;2;;-;46;11
Melina Tabacu;3;3,25;1,25;2,5;3,75;3,75;1;1;;0;32;38
Univ.Prof. Ian Barkholz;4;3,5;3,25;3,75;8,5;9,75;1;1;13;15;76;83
Olivia Eftimie;2,75;3;3,5;3,5;5,75;6;2;2;;0;48;50
Ph Svetlana Kubičeková;3;2,5;3,75;3,75;4,5;6,75;2;2;;0;45;52
Brăduț Niță;3;3,25;3,75;3,25;6,5;3,75;3;3;12;10;65;51
Enver Albers-Pruschke;2,25;2,75;2,5;4,5;6,5;2,5;2;2;;0;45;39
Nicoară Dima;3,25;3;3;4,5;7,75;9,25;2;2;13;15;69;82
Cazimir Ardelean;4,25;4,5;3;4,25;7;8,25;2;2;16;17;73;85
Enna Kurucová;3,25;4,5;4,25;4,5;8,5;9,5;1;1;20;20;84;94
Anaida Niță;4,25;4,75;4,75;4;9;7,25;2;2;20;20;92;84
Zenta Ackermann;3,75;3,25;5;5;9;6,25;2;2;0;0;71;58
Bohumír Sanitra;4,5;4,75;4,25;5;5,5;6,5;3;3;17;20;74;85
Șerban Tomescu;4,75;5;4,5;3,75;9,75;10;2;2;18;20;94;95
Ing. Christopher Schottin;1,75;3,25;3,5;1,5;2,5;7,5;2;2;0;0;31;49
Manole Nistor;2,5;3,75;4,75;2,5;8;6,75;2;2;10;10;71;62
Pleșu Georgescu;4,25;4,25;3,75;4,5;1,5;1,5;2;2;10;20;48;61
Ludwina Trommler MBA.;4,75;5;5;5;9;10;2;2;15;15;90;95
Rebeca Ene;3,75;3,25;2;4,5;7,5;7,25;2;2;18;20;71;80
Viliam Koppa;3,25;3,25;3;3,75;7;7;1;1;10;10;63;66
Laurenția Suciu;4,75;4,5;4,75;4,75;7,5;8,25;2;2;20;20;88;90
Brândușa Dima;0,25;2,25;1,75;2,25;7,5;9;1;1;0;;38;54
Mariana Nemeș;1,25;2;1,5;3;3;2,5;2;2;0;;23;30
Malte Jessel-Ackermann;1,25;2,75;1,25;2;0;4;0;0;0;;10;35
Magnus Roskoth B.Eng.;0;0;0;0;0;0;0;0;0;;0;0
MV Matej Dudo;2;2;1,25;1,25;0;0;0;0;0;;13;13
Zoe Barbu;1,75;4;2,75;4;6,25;3;2;2;20;20;63;64
Bohumil Holík;2;1,75;3;4,25;6,5;4,25;1;1;0;;46;41
Antje Barkholz;3,75;4,5;4;4,75;7,25;7,5;2;2;17;20;77;87
Branislava Cibulová;3,25;3,25;4,75;5;7,25;7,25;3;3;16;20;77;82
Víťazoslav Loj;3,5;3,5;5;5;9;8,75;2;2;20;20;90;89
Petrișor Georgescu;0,5;1,5;1;1,25;0;0;0;0;-;;6;11
Zenovia Barbu;3,75;3,75;3,75;4,5;8;10;1;1;15;15;77;88
Ilija Köhler-Benthin;2,5;1,75;2,5;4,5;6,75;0;2;2;0;;47;25
Gențiana Popescu;1,5;1,75;2;3;0;6,5;0;0;-;;14;45
Irma Kiselová Ph.D.;3,25;3,25;5;4,5;8,5;8,5;1;1;15;15;82;80
Kamila Kostrecová;1;1,25;1,5;0,75;3,75;0;2;2;0;;25;8
Lică Stănescu;5;4,5;5;5;8,75;9,25;2;2;15;15;90;90
Oliviu Barbu;2;3,25;2,5;4,25;-2;5,75;2;2;0;;10;53
Robertina Tomescu;1,75;2,5;2,75;4;4;6;2;2;18;20;52;70
Blahoslav Marcinko;2,75;3,25;4;5;4,75;7;2;2;0;;46;61
Maximilián Danko;2,75;3,25;3,75;3;7,25;7,5;2;2;20;20;75;75
Emilia Pop;5;5;5;5;10;10;2;2;20;20;100;100
Gebhard Franke;4,25;3,75;5;5;7,75;8,25;2;2;20;20;88;88
Claudiu Tabacu;3,25;2,5;3,75;4;8,5;8,5;2;2;20;20;82;80
Günter Kroker B.Sc.;3;3,25;3,75;4,5;7,75;8,5;2;2;18;20;76;85
Prof. Klemens Vollbrecht;4,25;5;3,75;4,75;0;8,5;0;0;;0;32;73
Lică Popa;2,5;2,5;3;3,5;0;4,75;0;0;;0;22;43
Birgid Drubin;1,75;2,25;3,75;3,25;7;4,5;1;1;;0;50;40
Zlatko Kuška;3,25;3,25;3;5;7,75;8,5;2;2;20;19;76;86
Prof. Angelina Loos B.Eng.;3,25;3,25;0;0;7,75;7;2;2;20;17;64;58
Bibiána Sklenáriková Ph.D.;5;5;4,25;5;8,5;9,75;2;2;20;19;91;98
Agata Trüb;4;4;4,5;4,5;7,75;9,25;2;2;20;20;85;91
Cornelia Scholtz;2,5;2,75;4,25;4,5;8,25;9,5;2;2;15;15;75;82
Pietro Beyer;2,75;4,5;2,75;4,75;8,5;4,5;2;2;;0;56;55
Lenka Skleničková;1,75;2,75;2,75;5;7,25;4,5;3;3;;0;47;49
Branislava Otčenášová;0;0;0;0;0;0;0;0;;0;0;0
Theodor Tabacu;1,5;4;2,75;3;7,75;8;1;1;;0;48;60
Marin Preda;2,25;3;3,5;4,75;7,75;8,25;2;2;15;0;69;64
Ľubomír Samel;4,75;4,75;4;5;8;10;2;2;20;20;87;99
Berta Gocníková;4,5;4,75;4,25;5;9,25;9,25;2;2;0;0;72;76
Varvara Ababei;3,25;3,25;4;4,25;8,25;9;1;1;20;19;82;85
Eftimie Ionescu;1;1,25;2,25;2;8,5;6,5;1;1;;0;47;39
Dolores Baum;0;3;3,5;4,75;0;7,75;0;0;;0;14;62
Gejza Sámel;1;1;0,5;1,75;4,75;7;2;2;20;19;45;58
Victoria Toma;4,5;5;4,75;5;8;10;1;1;20;20;89;100
 Reimar Mangold B.Sc.;2,75;3,25;3,5;4,75;6,25;5,25;2;2;;0;50;53
Irene Wende;4,5;4,25;4,75;4,5;8,25;9,75;1;1;;0;70;74
Lucențiu Diaconescu;4,75;4,75;3,75;4,5;8;9,75;1;1;20;19;86;95
Stanislava Klapková;3;3;3,75;3;6,75;9,25;2;2;;0;54;61
Izabela Georgescu;4,75;5;4,25;4,5;8,5;9,25;2;2;;0;70;75
Zoja Kozová;3;3;4;4,75;7,75;7,75;3;3;15;14;74;76
Ruxanda Mazilescu;3,5;4;4;4,75;8,75;9,5;1;1;;0;65;73
Iris Mocanu;3,25;3,5;4,5;5;6,75;6,75;1;1;;0;58;61
Marián Višňovský;2,75;4,25;3,5;5;9,5;10;2;2;15;15;78;92
Nora Zachariašová;1,5;1,75;4;4,5;5,5;5,5;1;1;10;9;54;56
Corneliu Dinu;2,5;3,5;3,75;4,75;8,25;8,5;2;2;20;20;78;87
Tomáš Tomašek;3,75;3,75;3,75;4,75;6,75;8,5;2;2;20;20;77;88
Dipl.-Ing. Dorina Hartmann;1,5;2,5;2,5;4;0;3;0;0;;0;16;38
Ľudovít Čapka;2;2,5;3,25;4,5;6;6,75;2;2;20;19;65;74
Regína Junášová;3,75;4,5;3,75;4,75;9,5;9,5;1;1;15;15;83;90
Evelina Ene;0,5;1,25;1,5;2,25;0;0;0;0;;0;8;14
Edmund Štefanko;3;4,25;2,5;3,5;4,5;0,75;2;2;;0;40;34
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
